location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Single,Single,1,13,99,1,1,180.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Single,Single,1,3,12,1,1,0.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Single,Single,1,13,99,1,1,185.0,0.0,0.0,0.0,2025-09-16,2025-10-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Single,Single,1,3,12,1,1,0.0,0.0,0.0,0.0,2025-09-16,2025-10-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Single,Single,1,13,99,1,1,205.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Single,Single,1,3,12,1,1,0.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Double/Twin,Double/Twin,2,13,99,1,2,210.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Double/Twin,Double/Twin,2,3,12,1,2,0.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Double/Twin,Double/Twin,2,13,99,1,2,215.0,0.0,0.0,0.0,2025-09-16,2025-10-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Double/Twin,Double/Twin,2,3,12,1,2,0.0,0.0,0.0,0.0,2025-09-16,2025-10-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Double/Twin,Double/Twin,2,13,99,1,2,235.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Double/Twin,Double/Twin,2,3,12,1,2,0.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Triple (Executive Room),Triple (Executive Room),3,13,99,1,3,315.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Triple (Executive Room),Triple (Executive Room),3,3,12,1,3,0.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Triple (Executive Room),Triple (Executive Room),3,13,99,1,3,320.0,0.0,0.0,0.0,2025-09-16,2025-10-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Triple (Executive Room),Triple (Executive Room),3,3,12,1,3,0.0,0.0,0.0,0.0,2025-09-16,2025-10-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Triple (Executive Room),Triple (Executive Room),3,13,99,1,3,340.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Triple (Executive Room),Triple (Executive Room),3,3,12,1,3,0.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Single,Executive Room - Single,1,13,99,1,1,230.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Single,Executive Room - Single,1,3,12,1,1,0.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Single,Executive Room - Single,1,13,99,1,1,235.0,0.0,0.0,0.0,2025-09-16,2025-10-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Single,Executive Room - Single,1,3,12,1,1,0.0,0.0,0.0,0.0,2025-09-16,2025-10-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Single,Executive Room - Single,1,13,99,1,1,255.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Single,Executive Room - Single,1,3,12,1,1,0.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Double,Executive Room - Double,2,13,99,1,2,260.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Double,Executive Room - Double,2,3,12,1,2,0.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Double,Executive Room - Double,2,13,99,1,2,265.0,0.0,0.0,0.0,2025-09-16,2025-10-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Double,Executive Room - Double,2,3,12,1,2,0.0,0.0,0.0,0.0,2025-09-16,2025-10-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Double,Executive Room - Double,2,13,99,1,2,285.0,0.0,0.0,0.0,2025-01-07,2025-01-31
,20260305 174019 Kiwoito Africa Safaris Sto,,,,0.0,,USD,Executive Room - Double,Executive Room - Double,2,3,12,1,2,0.0,0.0,0.0,0.0,2025-01-07,2025-01-31
