location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Day use rates on room only basis e-mail,Day use rates on room only basis e-mail,2,4,11,1,2,1.5,1.5,33.0,66.0,2026-01-04,2026-12-20
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Day use rates on room only basis e-mail,Day use rates on room only basis e-mail,2,13,99,1,2,1.5,1.5,33.0,66.0,2026-01-04,2026-12-20
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Day use rates on room only basis e-mail,Day use rates on room only basis e-mail,2,13,99,1,2,1.5,1.5,33.0,66.0,2026-01-04,2026-12-20
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Day use rates on room only basis e-mail,Day use rates on room only basis e-mail,2,4,11,1,2,0.75,0.75,16.5,33.0,2026-01-04,2026-12-20
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Day use rates on room only basis e-mail,Day use rates on room only basis e-mail,2,4,11,1,2,0.75,0.75,16.5,33.0,2026-01-04,2026-12-20
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Day use rates on room only basis e-mail,Day use rates on room only basis e-mail,2,0,2,1,2,0.0,0.0,0.0,0.0,2026-01-04,2026-12-20
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Room,Room,2,4,11,1,2,2.0,2.0,33.0,66.0,2026-01-04,2026-12-20
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Room,Room,2,13,99,1,2,2.0,2.0,33.0,66.0,2026-01-04,2026-12-20
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Room,Room,2,13,99,1,2,2.0,2.0,33.0,66.0,2026-01-04,2026-12-20
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Room,Room,2,4,11,1,2,1.0,1.0,16.5,33.0,2026-01-04,2026-12-20
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Room,Room,2,4,11,1,2,1.0,1.0,16.5,33.0,2026-01-04,2026-12-20
,20260306 094919 Gran Melia Arusha Dmc Contract,,,,0.0,,USD,Room,Room,2,0,2,1,2,0.0,0.0,0.0,0.0,2026-01-04,2026-12-20
