AUDIT TRAIL — 20260306 095020 Kiwoito Africa Safaris Sto
Generated : 2026-03-06 09:50:27.738085
==========================================================================================

[2026-03-06T09:50:22] INFO       | module_01                 |                        | PDF type=text, pages=5
[2026-03-06T09:50:22] GUESSED    | module_01                 | hotel_name             | Inferred/assumed
[2026-03-06T09:50:22] GUESSED    | module_01                 | contract_year          | Inferred/assumed
[2026-03-06T09:50:25] EXTRACTED  | module_02                 | raw_text               | Extracted from source
[2026-03-06T09:50:25] INFO       | module_03                 |                        | Text: 12648 → 12167 chars
[2026-03-06T09:50:25] EXTRACTED  | module_04                 | section                | Extracted from source
[2026-03-06T09:50:25] EXTRACTED  | module_04                 | section                | Extracted from source
[2026-03-06T09:50:25] EXTRACTED  | module_05                 | season                 | Extracted from source
[2026-03-06T09:50:25] EXTRACTED  | module_05                 | season                 | Extracted from source
[2026-03-06T09:50:25] EXTRACTED  | module_05                 | season                 | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_06                 | room_rate              | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_07                 | age_rule               | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_07                 | age_rule               | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_08                 | base_meal_plan         | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_08                 | single_supplement      | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_08                 | hb_supplement          | Extracted from source
[2026-03-06T09:50:27] EXTRACTED  | module_08                 | fb_supplement          | Extracted from source
[2026-03-06T09:50:27] INFO       | module_09                 |                        | Generated 162 CSV rows
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 1 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 4 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 7 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 10 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 13 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 16 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 19 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 22 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 25 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 28 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 31 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 34 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 37 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 40 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 43 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 46 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 49 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 52 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 55 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 58 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 61 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 64 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 67 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 70 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 73 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 76 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 79 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 82 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 85 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 88 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 91 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 94 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 97 | cost: Cost is zero for a non-infant row (value: '0')
[2026-03-06T09:50:27] WARNING    | module_10                 |                        | [WARNING] Row 100 | cost: Cost is zero for a non-infant row (value: '0')
