location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Standard Room (Single),text,1,0,4,1,1,0,0,0,0,1/1/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Standard Room (Single),text,1,5,11,1,1,30,0,8,15,1/2/2027,31/12/2028
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Standard Room (Single),text,1,12,99,1,1,60,0,15,30,1/3/2027,31/12/2029
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Executive Room (Double),text,2,0,4,1,2,0,0,0,0,1/4/2027,31/12/2030
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Executive Room (Double),text,2,5,11,1,2,18,35,8,15,1/5/2027,31/12/2031
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Executive Room (Double),text,2,12,99,1,2,35,35,15,30,1/6/2027,31/12/2032
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Executive Room (Twin),text,2,0,4,1,2,0,0,0,0,1/7/2027,31/12/2033
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Executive Room (Twin),text,2,5,11,1,2,18,18,8,15,1/8/2027,31/12/2034
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Executive Room (Twin),text,2,12,99,1,2,35,35,15,30,1/9/2027,31/12/2035
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Standard Room (Triple),text,3,0,4,1,3,0,0,0,0,1/10/2027,31/12/2036
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Standard Room (Triple),text,3,5,11,1,3,17,34,8,15,1/11/2027,31/12/2037
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Standard Room (Triple),text,3,12,99,1,3,34,34,15,30,1/12/2027,31/12/2038
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Family Room,text,4,0,4,1,4,0,0,0,0,1/13/2027,31/12/2039
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Family Room,text,4,5,11,1,4,18,35,8,15,1/14/2027,31/12/2040
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Family Room,text,4,12,99,1,4,35,35,15,30,1/15/2027,31/12/2041
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Inter-Connecting Room,text,6,0,4,1,6,0,0,0,0,1/16/2027,31/12/2042
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Inter-Connecting Room,text,6,5,11,1,6,14,27,8,15,1/17/2027,31/12/2043
Arusha,Summit Safari Lodge ,,text,FALSE,0,FALSE,USD,Inter-Connecting Room,text,6,12,99,1,6,27,27,15,30,1/18/2027,31/12/2044
