location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Single),test,1,0,4,1,1,0,0,0,0,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Single),test,1,5,11,1,1,165,0,15,28,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Single),test,1,12,99,1,1,165,0,30,55,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Single),test,1,0,4,1,1,0,0,0,0,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Single),test,1,5,11,1,1,135,0,15,28,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Single),test,1,12,99,1,1,135,0,30,55,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Single),test,1,0,4,1,1,0,0,0,0,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Single),test,1,5,11,1,1,165,0,15,28,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Single),test,1,12,99,1,1,165,0,30,55,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Double),test,2,0,4,1,2,0,0,0,0,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Double),test,2,5,11,1,2,60,93,15,28,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Double),test,2,12,99,1,2,93,93,30,55,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Double),test,2,0,4,1,2,0,0,0,0,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Double),test,2,5,11,1,2,60,76,15,28,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Double),test,2,12,99,1,2,76,76,30,55,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Double),test,2,0,4,1,2,0,0,0,0,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Double),test,2,5,11,1,2,60,93,15,28,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Double),test,2,12,99,1,2,93,93,30,55,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Twin),test,2,0,4,1,2,0,0,0,0,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Twin),test,2,5,11,1,2,60,93,15,28,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Twin),test,2,12,99,1,2,93,93,30,55,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Twin),test,2,0,4,1,2,0,0,0,0,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Twin),test,2,5,11,1,2,60,76,15,28,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Twin),test,2,12,99,1,2,76,76,30,55,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Twin),test,2,0,4,1,2,0,0,0,0,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Twin),test,2,5,11,1,2,60,93,15,28,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Twin),test,2,12,99,1,2,93,93,30,55,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Triple),test,3,0,4,1,3,0,0,0,0,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Triple),test,3,5,11,1,3,60,77,15,28,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Triple),test,3,12,99,1,3,77,77,30,55,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Triple),test,3,0,4,1,3,0,0,0,0,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Triple),test,3,5,11,1,3,60,67,15,28,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Triple),test,3,12,99,1,3,67,67,30,55,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Triple),test,3,0,4,1,3,0,0,0,0,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Triple),test,3,5,11,1,3,60,77,15,28,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Room (Triple),test,3,12,99,1,3,77,77,30,55,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Single),test,1,0,4,1,1,0,0,0,0,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Single),test,1,5,11,1,1,250,0,15,28,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Single),test,1,12,99,1,1,250,0,30,55,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Single),test,1,0,4,1,1,0,0,0,0,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Single),test,1,5,11,1,1,235,0,15,28,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Single),test,1,12,99,1,1,235,0,30,55,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Single),test,1,0,4,1,1,0,0,0,0,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Single),test,1,5,11,1,1,250,0,15,28,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Single),test,1,12,99,1,1,250,0,30,55,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Double),test,2,0,4,1,2,0,0,0,0,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Double),test,2,5,11,1,2,60,138,15,28,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Double),test,2,12,99,1,2,138,138,30,55,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Double),test,2,0,4,1,2,0,0,0,0,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Double),test,2,5,11,1,2,60,133,15,28,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Double),test,2,12,99,1,2,133,133,30,55,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Double),test,2,0,4,1,2,0,0,0,0,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Double),test,2,5,11,1,2,60,138,15,28,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Deluxe Suite (Double),test,2,12,99,1,2,138,138,30,55,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Single),test,1,0,4,1,1,0,0,0,0,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Single),test,1,5,11,1,1,335,0,15,28,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Single),test,1,12,99,1,1,335,0,30,55,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Single),test,1,0,4,1,1,0,0,0,0,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Single),test,1,5,11,1,1,300,0,15,28,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Single),test,1,12,99,1,1,330,0,30,55,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Single),test,1,0,4,1,1,0,0,0,0,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Single),test,1,5,11,1,1,335,0,15,28,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Single),test,1,12,99,1,1,335,0,30,55,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Double),test,2,0,4,1,2,0,0,0,0,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Double),test,2,5,11,1,2,60,193,15,28,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Double),test,2,12,99,1,2,193,193,30,55,1/1/2026,31/3/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Double),test,2,0,4,1,2,0,0,0,0,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Double),test,2,5,11,1,2,60,178,15,28,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Double),test,2,12,99,1,2,178,178,30,55,1/4/2026,31/5/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Double),test,2,0,4,1,2,0,0,0,0,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Double),test,2,5,11,1,2,60,193,15,28,1/6/2026,31/12/2026
Arusha,Kibo Palace Hotel,,test,FALSE,0,FALSE,USD,Executive Suite (Double),test,2,12,99,1,2,193,193,30,55,1/6/2026,31/12/2026
