location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0,0,0,0,1/1/2026,31/03/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,5,14,1,1,360,0,0,0,1/1/2026,31/03/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,15,99,1,1,720,0,0,0,1/1/2026,31/03/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0,0,0,0,1/4/2026,31/05/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,5,14,1,1,297.5,0,0,0,1/4/2026,31/05/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,15,99,1,1,595,0,0,0,1/4/2026,31/05/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0,0,0,0,1/6/2026,31/10/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,5,14,1,1,360,0,0,0,1/6/2026,31/10/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,15,99,1,1,720,0,0,0,1/6/2026,31/10/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0,0,0,0,1/11/2026,14/12/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,5,14,1,1,297.5,0,0,0,1/11/2026,14/12/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,15,99,1,1,595,0,0,0,1/11/2026,14/12/2026
Serengeti National park,Sametu Camp,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0,0,0,0,15/12/2026,31/12/2026
